Year,Casualties of Wars
1821,213546
1823,14099
1826,146073
1828,1837537
1830,341730
1831,794687
1834,2583912
1835,158508
1836,307509
1837,306315
1839,60782
1840,544952
1841,66304
1842,92037
1845,59181
1846,260852
1847,195565
1848,1284783
1849,280896
1851,76742
1853,1900245
1854,1797013
1855,67779
1856,28120
1858,73886
1859,334327
1860,1846969
1861,10231032
1862,197633
1863,270277
1864,3259884
1865,162227
1866,452160
1867,40177
1870,2406996
1871,407592
1872,783355
1875,138668
1876,59292
1877,2513065
1879,145644
1880,17963
1882,130117
1883,104775
1884,128592
1885,28123
1891,129381
1893,18252
1894,120931
1895,14416
1896,62065
1897,16597
1898,34266
1899,1169360
1900,43656
1901,46178
1903,72084
1904,908946
1905,16849
1906,4463
1907,18590
1909,73294
1910,853007
1911,126513
1912,287279
1913,178217
1914,15695165
1915,5712058
1916,2933513
1917,6956207
1918,119351
1919,516519
1920,57410
1921,29776
1926,1035707
1927,4084
1928,121779
1929,44371
1930,4012684
1931,399334
1932,348707
1934,12202
1935,97291
1936,2788971
1937,4531623
1938,7221
1939,20980330
1940,1043308
1941,44732121
1943,310342
1944,400800
1945,205416
1946,7016383
1947,14502
1948,171298
1950,2388904
1951,1614
1953,14892
1954,7476
1956,146293
1957,3536
1958,11025
1960,342996
1961,8460
1962,33444
1963,61145
1964,13881
1965,2259712
1966,11172
1967,92168
1968,35099
1969,15422
1970,15253
1971,256576
1972,92607
1973,25443
1974,58650
1975,36350
1976,83698
1977,22930
1978,94004
1979,36829
1980,2114308
1981,8419
1982,75000
1983,25500
1984,10500
1986,13000
1987,2200
1989,28161
1990,40000
1991,16500
1992,46043
1993,8500
1994,10000
1995,950
1997,3300
1998,70000
1999,20000
2001,4000
2002,2700
2003,7030
2004,3000
2005,2823
2007,3500
